location,WWI,AMI,PPI
Custis Rosslyn Cyclists2013,0.806351620398,2.17304726481,1.25663195516
Custis Rosslyn Cyclists2012,0.785899712289,2.20917807566,1.28151231239
WOD Bon Air East Cyclists2012,1.72350863751,0.923179227359,1.34861101984
Custis Rosslyn Cyclists2014,0.961725145755,1.83192707549,1.36385247209
Key Bridge West Cyclists2014,0.858854601248,1.65228426396,1.20060579691
MVT Airport South Cyclists2012,1.41230070604,1.12023285473,1.28266974386
MVT Airport South Cyclists2013,1.40952232701,1.09207418253,1.29827203697
MVT Airport South Cyclists2014,1.48583776859,1.02817838036,1.33586400862
Key Bridge West Cyclists2013,0.839683937561,1.65115938492,1.22515178695
Joyce St NB Cyclists2014,1.08153219234,1.23423423423,1.33650793651
Joyce St SB Cyclists2014,0.981329326751,1.00994035785,1.35365105909
WOD East Falls Church Cyclists2013,1.36771233496,1.28662730268,1.35867267179
WOD East Falls Church Cyclists2012,1.4644300163,1.24758630112,1.47373330298
WOD East Falls Church Cyclists2014,1.43053218453,1.22588097103,1.3467133977
WOD Bon Air East Cyclists2014,1.66978288798,0.939185596685,1.54798699354
WOD Bon Air East Cyclists2013,1.70875024178,0.856625979086,1.34139707361
Key Bridge East Cyclists2014,1.19343196183,1.49933510638,1.30162860342
Key Bridge East Cyclists2013,1.13172324508,1.55341552336,1.22392360353
TR Island Cyclists2014,1.23316833553,1.36864038896,1.30282211817
Gare de Tremblant Cyclists2012,1.53663091348,0.201494209936,10.8878902954
Gare de Tremblant Cyclists2013,1.83127319493,0.159781173364,4.23939470578
Totem_Laurier2014,0.747428402341,1.12559544418,1.55735483346
Totem_Laurier2013,0.709471448076,1.10512692232,1.33498238551
PierDup2011,1.35978952322,0.601589003275,2.31217538108
PierDup2013,1.24657412688,0.687090083525,2.06123661367
PierDup2012,1.39417320107,0.622426246257,2.31785313886
Maisonneuve_12011,0.55821315149,1.30433466979,1.58824772079
Maisonneuve_12012,0.577876299698,1.39475492196,1.4780387892
Maisonneuve_12014,0.579406340837,1.42868021638,1.51612535897
Maisonneuve_22012,0.563850521778,1.09596484812,1.43920959846
Maisonneuve_22011,0.565656401512,1.07178945781,1.5117582871
Mirabel Cyclists2012,1.64878328009,0.374723522453,2.41215675192
CSC2013,0.49839481751,1.24958648288,1.40234686489
Gare de Tremblant Cyclists2014,1.68290058702,0.1533241044,5.70245997878
Mirabel Cyclists2014,1.70916511286,0.316854563161,2.37027701282
PierDup2014,1.38575327789,0.65949037812,2.32958821268
Prevost Cyclists2014,2.01440903073,0.207587655223,4.0856717146
GareNominingue Cyclists2012,1.69730975952,0.339510939511,4.90367882278
GareNominingue Cyclists2013,1.67045920053,0.274151074151,4.40531928729
GareNominingue Cyclists2014,1.56151948642,0.260869565217,4.39363990168
Berri12013,0.616871339422,1.25985269415,1.39479420181
Maisonneuve_22014,0.574996676273,1.0487472451,1.49057723432
Parc2011,0.511781046521,1.38393472156,1.42810499601
Parc2013,0.466585400178,1.42790300789,1.30543737097
Parc2012,0.499489806482,1.36124420012,1.33871339846
Parc2014,0.505297369316,1.54762853116,1.5144013096
Maisonneuve_22013,0.530863708667,1.06798823174,1.32676675268
Berri12012,0.683151481889,1.23963306578,1.51293419398
CSC2012,0.55387874435,1.41050278524,1.40782997255
CSC2011,0.568194738434,1.42444173221,1.81638457181
Berri12011,0.609847274524,1.31511601089,2.15621044575
Mirabel Cyclists2013,1.62976407298,0.326459968863,2.14539406718
Berri12014,0.669703994619,1.30486227585,1.53789753659
CSC2014,0.525650626852,1.51933276651,1.5309829967
Rachel12011,0.789740034558,1.27245994811,1.47104388327
Rachel12012,0.855561955627,1.28005131495,1.462595708
Rachel12013,0.78527377092,1.21850637523,1.41521630974
LLYN2014,0.3509663405,2.5666243207,1.49810187003
LLYN2012,0.380717169828,2.40584226568,1.50967960177
LLYN2013,0.359270813641,2.53416234413,1.36210695157
ALEX2011,0.719587624225,1.43850786081,1.54642178059
LMET2012,0.405116273733,1.82082760294,1.46180451633
ALEX2012,0.700271898164,1.49173599352,1.55239282753
ALEX2014,0.678454218195,1.48710638376,1.54306185836
LMET2014,0.380875076772,1.98216254784,1.47832264591
CRTZ2014,1.20574843025,0.705422794118,1.84138054216
CRTZ2012,1.11296875257,0.810280973779,1.73488271782
CRTZ2013,1.15759971336,0.742962747756,1.64394405105
ORPY2013,0.819339917674,1.49006399461,1.66136275679
ORPY2012,0.800712533271,1.56975810572,1.78712070443
ORPY2011,0.806605155133,1.54326745679,1.8279082263
ORPY2014,0.789141449372,1.52983098874,1.85588014076
LMET2013,0.38839799414,1.9199603109,1.32717800739
COBY2011,0.975657303504,0.822576528108,1.69769922292
COBY2012,0.91327366122,0.90679461328,1.7364187053
COBY2013,0.89415621862,0.892799345557,1.53610948213
COBY2014,0.881384469482,0.89120417776,1.75390981514
ALEX2013,0.690714612008,1.40667190383,1.39507594937
