Date,,Berri1,Berri1 IN,Berri1 OUT,CSC,CSC IN,CSC OUT,Maisonneuve_1,Mais1 IN,Mais1 OUT,Maisonneuve_2,Mais2 IN,Mais2 OUT,Parc,Parc IN,Parc OUT,PierDup,PierDup IN,PierDup OUT,Rachel1,Rachel1 IN,Rachel1 OUT,Saint-Urbain,Saint-Urbain New_IN,Saint-Urbain New_OUT,Totem_Laurier,Totem_Laurier_IN,Totem_Laurier_OUT
06/04/2008,0:00,843,375,468,,,,562,229,333,772,466,306,,,,,,,,,,,,,,,
07/04/2008,0:00,1279,553,726,,,,760,389,371,1430,838,592,,,,,,,,,,,,,,,
08/04/2008,0:00,1511,653,858,,,,889,464,425,1490,866,624,,,,,,,,,,,,,,,
09/04/2008,0:00,1226,545,681,,,,835,410,425,1563,903,660,,,,,,,,,,,,,,,
10/04/2008,0:00,1303,556,747,,,,835,468,367,1528,874,654,,,,,,,,,,,,,,,
11/04/2008,0:00,738,309,429,,,,488,255,233,921,543,378,,,,,,,,,,,,,,,
12/04/2008,0:00,237,91,146,,,,167,84,83,319,170,149,,,,,,,,,,,,,,,
13/04/2008,0:00,334,150,184,,,,235,126,109,420,237,183,,,,,,,,,,,,,,,
14/04/2008,0:00,1493,639,854,,,,988,513,475,1603,904,699,,,,,,,,,,,,,,,
15/04/2008,0:00,1989,896,1093,,,,1285,687,598,1921,1079,842,,,,,,,,,,,,,,,
16/04/2008,0:00,2357,1039,1318,,,,1459,791,668,2142,1226,916,,,,,,,,,,,,,,,
17/04/2008,0:00,2934,1299,1635,,,,1676,898,778,2564,1452,1112,,,,,,,,,,,,,,,
18/04/2008,0:00,2922,1316,1606,,,,1705,859,846,2515,1385,1130,,,,,,,,,,,,,,,
