week,long-term counter,estimate,actual,error
14,Berri12014,5659.40275471,4365.87735849,1293.52539622
14,CSC2014,7702.79395158,4365.87735849,3336.91659309
14,PierDup2014,55710.8947244,4365.87735849,51345.0173659
14,Totem_Laurier2014,6405.61689056,4365.87735849,2039.73953207
14,Parc2014,5189.38202382,4365.87735849,823.504665327
14,Maisonneuve_12014,5455.20903934,4365.87735849,1089.33168085
15,Berri12014,4757.29321281,4365.87735849,391.415854318
15,CSC2014,7567.49630476,4365.87735849,3201.61894627
15,PierDup2014,11792.7041483,4365.87735849,7426.82678979
15,Totem_Laurier2014,5886.00251084,4365.87735849,1520.12515235
15,Parc2014,4209.1961195,4365.87735849,-156.681238995
15,Maisonneuve_12014,4928.2631695,4365.87735849,562.385811008
16,Berri12014,4367.97182645,4365.87735849,2.09446795793
16,CSC2014,7985.95798565,4365.87735849,3620.08062716
16,PierDup2014,9539.72165496,4365.87735849,5173.84429647
16,Totem_Laurier2014,5317.79458376,4365.87735849,951.917225266
16,Parc2014,4343.01677617,4365.87735849,-22.8605823201
16,Maisonneuve_12014,4505.44644761,4365.87735849,139.569089118
17,Berri12014,4532.31646775,4365.87735849,166.439109258
17,CSC2014,3881.04252923,4365.87735849,-484.834829256
17,PierDup2014,7341.67220983,4365.87735849,2975.79485134
17,Totem_Laurier2014,5402.96334821,4365.87735849,1037.08598972
17,Parc2014,4435.72282815,4365.87735849,69.8454696636
17,Maisonneuve_12014,4475.50294149,4365.87735849,109.625583003
18,Berri12014,4647.92688829,4365.87735849,282.049529796
18,CSC2014,4016.07332434,4365.87735849,-349.804034146
18,PierDup2014,8289.48036538,4365.87735849,3923.60300689
18,Totem_Laurier2014,5636.43461682,4365.87735849,1270.55725833
18,Parc2014,4658.39317352,4365.87735849,292.51581503
18,Maisonneuve_12014,4601.22752092,4365.87735849,235.350162432
19,Berri12014,4185.17269462,4365.87735849,-180.704663867
19,CSC2014,3927.88072207,4365.87735849,-437.996636424
