week,best long-term counter,best estimate,actual,best error
14,Parc2014,5189.38202382,4365.87735849,823.504665327
15,Parc2014,4209.1961195,4365.87735849,-156.681238995
16,Berri12014,4367.97182645,4365.87735849,2.09446795793
17,Parc2014,4435.72282815,4365.87735849,69.8454696636
18,Maisonneuve_12014,4601.22752092,4365.87735849,235.350162432
19,Maisonneuve_12014,4400.99446569,4365.87735849,35.1171071984
20,Berri12014,4315.93643838,4365.87735849,-49.940920112
21,CSC2014,4187.67112829,4365.87735849,-178.206230199
22,Parc2014,4272.39484016,4365.87735849,-93.4825183286
23,CSC2014,4291.30705498,4365.87735849,-74.5703035064
24,CSC2014,4355.74000916,4365.87735849,-10.1373493335
25,Totem_Laurier2014,4361.23644428,4365.87735849,-4.64091420698
26,Maisonneuve_12014,4383.22036046,4365.87735849,17.343001974
27,Totem_Laurier2014,4184.94184384,4365.87735849,-180.935514647
28,Berri12014,4306.49442057,4365.87735849,-59.3829379171
29,Maisonneuve_12014,4418.99530627,4365.87735849,53.1179477809
30,Totem_Laurier2014,4401.4692686,4365.87735849,35.591910114
31,Totem_Laurier2014,4404.85806852,4365.87735849,38.980710034
32,Berri12014,4411.73218318,4365.87735849,45.8548246937
33,Maisonneuve_12014,4442.03548125,4365.87735849,76.1581227613
34,Parc2014,4394.79345474,4365.87735849,28.9160962476
35,Parc2014,4326.98354184,4365.87735849,-38.8938166477
36,Berri12014,4353.83588249,4365.87735849,-12.0414759966
37,Maisonneuve_12014,4461.20912136,4365.87735849,95.331762872
38,Maisonneuve_12014,4318.46192529,4365.87735849,-47.415433202
39,Maisonneuve_12014,4397.98088011,4365.87735849,32.103521619
40,Maisonneuve_12014,4436.87854824,4365.87735849,71.0011897469
41,Maisonneuve_12014,4445.04173095,4365.87735849,79.1643724544
42,CSC2014,4415.3464474,4365.87735849,49.4690889056
43,CSC2014,4555.79945296,4365.87735849,189.922094467
44,Maisonneuve_12014,4203.78737394,4365.87735849,-162.089984548
