location,WWI,AMI,PPI
Totem_Laurier2014,0.747428402341,1.12559544418,2.34068261086
Totem_Laurier2013,0.709471448076,1.10512692232,2.38442460317
PierDup2011,1.35978952322,0.601589003275,18.5714285714
PierDup2013,1.24657412688,0.687090083525,14.375
PierDup2012,1.39417320107,0.622426246257,9.9
Maisonneuve_12011,0.55821315149,1.30433466979,3.74698795181
Maisonneuve_12012,0.577876299698,1.39475492196,4.56031128405
Maisonneuve_12013,0.530480721163,1.09628027511,3.68475452196
Maisonneuve_12014,0.579406340837,1.42868021638,3.90818250377
Maisonneuve_22014,0.574996676273,1.0487472451,2.76950947603
Maisonneuve_22013,0.530863708667,1.06798823174,3.18329698292
Maisonneuve_22012,0.563850521778,1.09596484812,2.78966789668
Maisonneuve_22011,0.565656401512,1.07178945781,3.02454642476
PierDup2014,1.38575327789,0.65949037812,15.7013888889
CSC2013,0.49839481751,1.24958648288,2.66203703704
Berri12013,0.616871339422,1.25985269415,4.73971962617
Parc2011,0.511781046521,1.38393472156,2.5321888412
Parc2013,0.466585400178,1.42790300789,2.56724254743
Parc2012,0.499489806482,1.36124420012,2.54452926209
Parc2014,0.505297369316,1.54762853116,3.14175407925
Berri12012,0.683151481889,1.23963306578,3.63342318059
CSC2012,0.55387874435,1.41050278524,2.59411764706
CSC2011,0.568194738434,1.42444173221,3.36562998405
Berri12011,0.609847274524,1.31511601089,5.9807073955
Berri12014,0.669703994619,1.30486227585,3.27959728287
CSC2014,0.525650626852,1.51933276651,2.91462585034
Rachel12011,0.789740034558,1.27245994811,2.35047219307
Rachel12012,0.855561955627,1.28005131495,2.81127241674
Rachel12013,0.78527377092,1.21850637523,2.95105820106
Rachel12014,1.0416804848,1.13492016732,8.86145404664
