location,WWI,AMI,PPI
Totem_Laurier2014,0.747428402341,1.12559544418,2.34068261086
Totem_Laurier2013,0.709471448076,1.10512692232,1.42613442511
PierDup2011,1.35978952322,0.601589003275,1.5931372549
PierDup2013,1.24657412688,0.687090083525,1.57657657658
PierDup2012,1.39417320107,0.622426246257,1.47321428571
Maisonneuve_12011,0.55821315149,1.30433466979,1.447858473
Maisonneuve_12012,0.577876299698,1.39475492196,1.46098229868
Maisonneuve_12013,0.530480721163,1.09628027511,1.4639905549
Maisonneuve_12014,0.579406340837,1.42868021638,3.90818250377
Maisonneuve_22014,0.574996676273,1.0487472451,2.76950947603
Maisonneuve_22013,0.530863708667,1.06798823174,1.44716837704
Maisonneuve_22012,0.563850521778,1.09596484812,1.3680781759
Maisonneuve_22011,0.565656401512,1.07178945781,1.3714672861
PierDup2014,1.38575327789,0.65949037812,15.7013888889
CSC2013,0.49839481751,1.24958648288,1.40615748964
Berri12013,0.616871339422,1.25985269415,1.51442307692
Parc2011,0.511781046521,1.38393472156,1.40075973409
Parc2013,0.466585400178,1.42790300789,1.41720430108
Parc2012,0.499489806482,1.36124420012,1.36388434261
Parc2014,0.505297369316,1.54762853116,3.14175407925
Berri12012,0.683151481889,1.23963306578,1.43008699342
CSC2012,0.55387874435,1.41050278524,1.34124087591
CSC2011,0.568194738434,1.42444173221,1.44602048857
Berri12011,0.609847274524,1.31511601089,1.43120960295
Berri12014,0.669703994619,1.30486227585,3.27959728287
CSC2014,0.525650626852,1.51933276651,2.91462585034
Rachel12011,0.789740034558,1.27245994811,1.34099616858
Rachel12012,0.855561955627,1.28005131495,1.38342578585
Rachel12013,0.78527377092,1.21850637523,1.45722870272
Rachel12014,1.0416804848,1.13492016732,8.86145404664
