location,WWI,AMI,PPI
LLYN2014,0.3509663405,2.5666243207,1.47208121827
LLYN2011,0.430965397333,1.90355270821,2.54761904762
LLYN2012,0.380717169828,2.40584226568,1.461352657
LLYN2013,0.359270813641,2.53416234413,1.52832674572
ALEX2011,0.719587624225,1.43850786081,1.38071895425
LMET2012,0.405116273733,1.82082760294,1.41255605381
LMET2011,0.423643674516,1.58474545782,2.2311827957
ALEX2012,0.700271898164,1.49173599352,1.41451414514
ALEX2014,0.678454218195,1.48710638376,1.46666666667
LMET2014,0.380875076772,1.98216254784,1.43736017897
CRTZ2014,1.20574843025,0.705422794118,1.47727272727
CRTZ2011,1.14500797349,0.788909954459,3.48958333333
CRTZ2012,1.11296875257,0.810280973779,1.52610441767
CRTZ2013,1.15759971336,0.742962747756,1.49470899471
ORPY2013,0.819339917674,1.49006399461,1.6144018583
ORPY2012,0.800712533271,1.56975810572,1.63352272727
ORPY2011,0.806605155133,1.54326745679,1.55216284987
ORPY2014,0.789141449372,1.52983098874,1.59292035398
LMET2013,0.38839799414,1.9199603109,1.48494288681
COBY2011,0.975657303504,0.822576528108,1.38364779874
COBY2012,0.91327366122,0.90679461328,1.42857142857
COBY2013,0.89415621862,0.892799345557,1.44257703081
COBY2014,0.881384469482,0.89120417776,1.41025641026
ALEX2013,0.690714612008,1.40667190383,1.44290123457
